Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 01/01  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/01  07:00:00,SFH,2011-2015,No retrofit,11924860.63,10493162.72,1431697.914,0,8867180.293,13.75
 01/01  08:00:00,SFH,2011-2015,No retrofit,9562411.613,8607946.337,954465.2762,0,4211252.116,72.09
 01/01  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,133.83
 01/01  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,178.66
 01/01  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,172.24
 01/01  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,145.35
 01/01  13:00:00,SFH,2011-2015,No retrofit,5435873.991,3526943.438,1908930.552,0,8867180.293,113.16
 01/01  14:00:00,SFH,2011-2015,No retrofit,3209457.905,2254992.628,954465.2762,0,4211252.116,48.35
 01/01  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,12.67
 01/01  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/01  18:00:00,SFH,2011-2015,No retrofit,5432933.261,4478467.985,954465.2762,0,4211252.116,0
 01/01  19:00:00,SFH,2011-2015,No retrofit,5046942.909,3138012.357,1908930.552,0,8867180.293,0
 01/01  20:00:00,SFH,2011-2015,No retrofit,4700470.596,2791540.043,1908930.552,0,10419156.35,0
 01/01  21:00:00,SFH,2011-2015,No retrofit,6824514.344,4915583.792,1908930.552,0,4211252.116,0
 01/01  22:00:00,SFH,2011-2015,No retrofit,8056794.377,5670631.187,2386163.191,0,4211252.116,0
 01/01  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/01  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/02  07:00:00,SFH,2011-2015,No retrofit,11894684.91,11894684.91,0,0,8867180.293,13.51
 01/02  08:00:00,SFH,2011-2015,No retrofit,11537502.29,10583037.01,954465.2762,0,4211252.116,55.82
 01/02  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,79.9
 01/02  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,109.02
 01/02  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,97.31
 01/02  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,94.71
 01/02  13:00:00,SFH,2011-2015,No retrofit,1990252.105,81321.55243,1908930.552,0,8867180.293,99
 01/02  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,0,4211252.116,46.09
 01/02  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,13.09
 01/02  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/02  18:00:00,SFH,2011-2015,No retrofit,2389734.146,1435268.869,954465.2762,0,4211252.116,0
 01/02  19:00:00,SFH,2011-2015,No retrofit,2956305.925,1047375.372,1908930.552,0,8867180.293,0
 01/02  20:00:00,SFH,2011-2015,No retrofit,2846069.194,937138.6415,1908930.552,0,10419156.35,0
 01/02  21:00:00,SFH,2011-2015,No retrofit,5110708.3,3201777.748,1908930.552,0,4211252.116,0
 01/02  22:00:00,SFH,2011-2015,No retrofit,6518481.42,4132318.229,2386163.191,0,4211252.116,0
 01/02  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/02  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/03  07:00:00,SFH,2011-2015,No retrofit,11185049.71,9753351.796,1431697.914,0,8867180.293,13.43
 01/03  08:00:00,SFH,2011-2015,No retrofit,8929544.373,7975079.096,954465.2762,0,4211252.116,69.95
 01/03  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,93.46
 01/03  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,159.16
 01/03  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,112.29
 01/03  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,94.89
 01/03  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,0,8867180.293,65.28
 01/03  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,0,4211252.116,36.84
 01/03  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,12.92
 01/03  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/03  18:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,0,4211252.116,0
 01/03  19:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,0,8867180.293,0
 01/03  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,0,10419156.35,0
 01/03  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,0,4211252.116,0
 01/03  22:00:00,SFH,2011-2015,No retrofit,2429015.792,42852.60116,2386163.191,0,4211252.116,0
 01/03  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/03  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/04  07:00:00,SFH,2011-2015,No retrofit,7062951.408,5631253.494,1431697.914,0,8867180.293,16.9
 01/04  08:00:00,SFH,2011-2015,No retrofit,6094444.399,5139979.123,954465.2762,0,4211252.116,83.8
 01/04  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,135.27
 01/04  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,153.27
 01/04  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,193.02
 01/04  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,172.43
 01/04  13:00:00,SFH,2011-2015,No retrofit,5521893.086,3612962.534,1908930.552,0,8867180.293,91.68
 01/04  14:00:00,SFH,2011-2015,No retrofit,3501047.39,2546582.113,954465.2762,0,4211252.116,50.88
 01/04  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,15.48
 01/04  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/04  18:00:00,SFH,2011-2015,No retrofit,6804934.401,5850469.125,954465.2762,0,4211252.116,0
 01/04  19:00:00,SFH,2011-2015,No retrofit,6841556.795,4932626.243,1908930.552,0,8867180.293,0
 01/04  20:00:00,SFH,2011-2015,No retrofit,6512746.212,4603815.66,1908930.552,0,10419156.35,0
 01/04  21:00:00,SFH,2011-2015,No retrofit,8571697.394,6662766.841,1908930.552,0,4211252.116,0
 01/04  22:00:00,SFH,2011-2015,No retrofit,10087260.76,7701097.573,2386163.191,0,4211252.116,0
 01/04  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/04  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/05  07:00:00,SFH,2011-2015,No retrofit,16308426.51,14876728.6,1431697.914,0,8867180.293,15.05
 01/05  08:00:00,SFH,2011-2015,No retrofit,12989098.39,12034633.12,954465.2762,0,4211252.116,83.27
 01/05  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,52.67
 01/05  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,118.3
 01/05  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,172.23
 01/05  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,130.57
 01/05  13:00:00,SFH,2011-2015,No retrofit,17182460.4,15273529.85,1908930.552,0,8867180.293,113.38
 01/05  14:00:00,SFH,2011-2015,No retrofit,12473542.96,11519077.68,954465.2762,0,4211252.116,55.9
 01/05  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,15.28
 01/05  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/05  18:00:00,SFH,2011-2015,No retrofit,18000032.64,17045567.36,954465.2762,0,4211252.116,0
 01/05  19:00:00,SFH,2011-2015,No retrofit,15014177.71,13105247.16,1908930.552,0,8867180.293,0
 01/05  20:00:00,SFH,2011-2015,No retrofit,13834011.94,11925081.39,1908930.552,0,10419156.35,0
 01/05  21:00:00,SFH,2011-2015,No retrofit,15256589.31,13347658.76,1908930.552,0,4211252.116,0
 01/05  22:00:00,SFH,2011-2015,No retrofit,16287669.21,13901506.02,2386163.191,0,4211252.116,0
 01/05  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/05  24:00:00,SFH,2011-2015,No retrofit,187465.5912,187465.5912,0,0,969985.0368,0
 01/06  01:00:00,SFH,2011-2015,No retrofit,639811.4892,639811.4892,0,0,969985.0368,0
 01/06  02:00:00,SFH,2011-2015,No retrofit,1043205.458,1043205.458,0,0,969985.0368,0
 01/06  03:00:00,SFH,2011-2015,No retrofit,1644743.351,1644743.351,0,0,969985.0368,0
 01/06  04:00:00,SFH,2011-2015,No retrofit,2333340.243,2333340.243,0,0,969985.0368,0
 01/06  05:00:00,SFH,2011-2015,No retrofit,2899298.417,2899298.417,0,0,969985.0368,0
 01/06  06:00:00,SFH,2011-2015,No retrofit,3240606.337,3240606.337,0,0,1551976.059,0
 01/06  07:00:00,SFH,2011-2015,No retrofit,22990110.06,21558412.14,1431697.914,0,8867180.293,11.96
 01/06  08:00:00,SFH,2011-2015,No retrofit,19160970.4,18206505.13,954465.2762,0,4211252.116,55.97
 01/06  09:00:00,SFH,2011-2015,No retrofit,597529.0808,597529.0808,0,0,969985.0368,60.9
 01/06  10:00:00,SFH,2011-2015,No retrofit,1859681.636,1859681.636,0,0,969985.0368,161.57
 01/06  11:00:00,SFH,2011-2015,No retrofit,1838027.606,1838027.606,0,0,969985.0368,118.88
 01/06  12:00:00,SFH,2011-2015,No retrofit,1664952.189,1664952.189,0,0,969985.0368,70.41
 01/06  13:00:00,SFH,2011-2015,No retrofit,21546374.84,19637444.29,1908930.552,0,8867180.293,81.39
 01/06  14:00:00,SFH,2011-2015,No retrofit,16212958.99,15258493.71,954465.2762,0,4211252.116,34.16
 01/06  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,13.73
 01/06  16:00:00,SFH,2011-2015,No retrofit,425114.2268,425114.2268,0,0,969985.0368,0
 01/06  17:00:00,SFH,2011-2015,No retrofit,1397812.333,1397812.333,0,0,969985.0368,0
 01/06  18:00:00,SFH,2011-2015,No retrofit,21759522.98,20805057.71,954465.2762,0,4211252.116,0
 01/06  19:00:00,SFH,2011-2015,No retrofit,18663780.28,16754849.73,1908930.552,0,8867180.293,0
 01/06  20:00:00,SFH,2011-2015,No retrofit,17182669.43,15273738.87,1908930.552,0,10419156.35,0
 01/06  21:00:00,SFH,2011-2015,No retrofit,18558397.18,16649466.63,1908930.552,0,4211252.116,0
 01/06  22:00:00,SFH,2011-2015,No retrofit,19501197.89,17115034.7,2386163.191,0,4211252.116,0
 01/06  23:00:00,SFH,2011-2015,No retrofit,153788.8854,153788.8854,0,0,1551976.059,0
 01/06  24:00:00,SFH,2011-2015,No retrofit,1591090.12,1591090.12,0,0,969985.0368,0
 01/07  01:00:00,SFH,2011-2015,No retrofit,2410054.546,2410054.546,0,0,969985.0368,0
 01/07  02:00:00,SFH,2011-2015,No retrofit,3043469.273,3043469.273,0,0,969985.0368,0
 01/07  03:00:00,SFH,2011-2015,No retrofit,3648091.241,3648091.241,0,0,969985.0368,0
 01/07  04:00:00,SFH,2011-2015,No retrofit,4191463.186,4191463.186,0,0,969985.0368,0
 01/07  05:00:00,SFH,2011-2015,No retrofit,4534220.094,4534220.094,0,0,969985.0368,0
 01/07  06:00:00,SFH,2011-2015,No retrofit,4629013.016,4629013.016,0,0,1551976.059,0
 01/07  07:00:00,SFH,2011-2015,No retrofit,24718593.16,23286895.25,1431697.914,0,8867180.293,13.63
 01/07  08:00:00,SFH,2011-2015,No retrofit,21161111.68,20206646.4,954465.2762,0,4211252.116,64.27
 01/07  09:00:00,SFH,2011-2015,No retrofit,1300214.305,1300214.305,0,0,969985.0368,114.45
 01/07  10:00:00,SFH,2011-2015,No retrofit,3236142.77,3236142.77,0,0,969985.0368,199.89
 01/07  11:00:00,SFH,2011-2015,No retrofit,3605825.811,3605825.811,0,0,969985.0368,222.73
 01/07  12:00:00,SFH,2011-2015,No retrofit,3800125.002,3800125.002,0,0,969985.0368,161.21
 01/07  13:00:00,SFH,2011-2015,No retrofit,24514383.68,22605453.13,1908930.552,0,8867180.293,140.77
 01/07  14:00:00,SFH,2011-2015,No retrofit,16014185.97,15059720.69,954465.2762,0,4211252.116,59.06
 01/07  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,19.33
 01/07  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/07  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/07  18:00:00,SFH,2011-2015,No retrofit,18984880.05,18030414.77,954465.2762,0,4211252.116,0
 01/07  19:00:00,SFH,2011-2015,No retrofit,16100845.97,14191915.41,1908930.552,0,8867180.293,0
 01/07  20:00:00,SFH,2011-2015,No retrofit,14968248.91,13059318.35,1908930.552,0,10419156.35,0
 01/07  21:00:00,SFH,2011-2015,No retrofit,16564074.04,14655143.49,1908930.552,0,4211252.116,0
 01/07  22:00:00,SFH,2011-2015,No retrofit,17660274.33,15274111.14,2386163.191,0,4211252.116,0
 01/07  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/07  24:00:00,SFH,2011-2015,No retrofit,511424.1918,511424.1918,0,0,969985.0368,0
 01/08  01:00:00,SFH,2011-2015,No retrofit,1342545.244,1342545.244,0,0,969985.0368,0
 01/08  02:00:00,SFH,2011-2015,No retrofit,2275006.91,2275006.91,0,0,969985.0368,0
 01/08  03:00:00,SFH,2011-2015,No retrofit,3083267.285,3083267.285,0,0,969985.0368,0
 01/08  04:00:00,SFH,2011-2015,No retrofit,3787998.819,3787998.819,0,0,969985.0368,0
 01/08  05:00:00,SFH,2011-2015,No retrofit,4390681.084,4390681.084,0,0,969985.0368,0
 01/08  06:00:00,SFH,2011-2015,No retrofit,4709054.163,4709054.163,0,0,1551976.059,0
 01/08  07:00:00,SFH,2011-2015,No retrofit,24664615.24,23232917.33,1431697.914,0,8867180.293,13.62
 01/08  08:00:00,SFH,2011-2015,No retrofit,21254831.11,20300365.83,954465.2762,0,4211252.116,60.79
 01/08  09:00:00,SFH,2011-2015,No retrofit,1165188.417,1165188.417,0,0,969985.0368,111.91
 01/08  10:00:00,SFH,2011-2015,No retrofit,1648775.209,1648775.209,0,0,969985.0368,184.12
 01/08  11:00:00,SFH,2011-2015,No retrofit,481656.696,481656.696,0,0,969985.0368,196.16
 01/08  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,223.88
 01/08  13:00:00,SFH,2011-2015,No retrofit,15933922.79,14024992.24,1908930.552,0,8867180.293,132.49
 01/08  14:00:00,SFH,2011-2015,No retrofit,12801238.49,11846773.21,954465.2762,0,4211252.116,75.45
 01/08  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,23.65
 01/08  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/08  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/08  18:00:00,SFH,2011-2015,No retrofit,18763665.95,17809200.67,954465.2762,0,4211252.116,0
 01/08  19:00:00,SFH,2011-2015,No retrofit,16026110.43,14117179.88,1908930.552,0,8867180.293,0
 01/08  20:00:00,SFH,2011-2015,No retrofit,15052374.3,13143443.74,1908930.552,0,10419156.35,0
 01/08  21:00:00,SFH,2011-2015,No retrofit,16763178.54,14854247.99,1908930.552,0,4211252.116,0
 01/08  22:00:00,SFH,2011-2015,No retrofit,18065629.3,15679466.11,2386163.191,0,4211252.116,0
 01/08  23:00:00,SFH,2011-2015,No retrofit,10037.74601,10037.74601,0,0,1551976.059,0
 01/08  24:00:00,SFH,2011-2015,No retrofit,787338.0107,787338.0107,0,0,969985.0368,0
 01/09  01:00:00,SFH,2011-2015,No retrofit,1740465.681,1740465.681,0,0,969985.0368,0
 01/09  02:00:00,SFH,2011-2015,No retrofit,2637246.885,2637246.885,0,0,969985.0368,0
 01/09  03:00:00,SFH,2011-2015,No retrofit,3372527.933,3372527.933,0,0,969985.0368,0
 01/09  04:00:00,SFH,2011-2015,No retrofit,4029919.855,4029919.855,0,0,969985.0368,0
 01/09  05:00:00,SFH,2011-2015,No retrofit,4606096.147,4606096.147,0,0,969985.0368,0
 01/09  06:00:00,SFH,2011-2015,No retrofit,4921814.469,4921814.469,0,0,1551976.059,0
 01/09  07:00:00,SFH,2011-2015,No retrofit,24770582.14,23338884.23,1431697.914,0,8867180.293,20.13
 01/09  08:00:00,SFH,2011-2015,No retrofit,21341210.46,20386745.19,954465.2762,0,4211252.116,106.77
 01/09  09:00:00,SFH,2011-2015,No retrofit,1501498.326,1501498.326,0,0,969985.0368,207.59
 01/09  10:00:00,SFH,2011-2015,No retrofit,3473840.653,3473840.653,0,0,969985.0368,277.44
 01/09  11:00:00,SFH,2011-2015,No retrofit,3825521.738,3825521.738,0,0,969985.0368,321.36
 01/09  12:00:00,SFH,2011-2015,No retrofit,4067987.227,4067987.227,0,0,969985.0368,231.07
 01/09  13:00:00,SFH,2011-2015,No retrofit,24919512.36,23010581.81,1908930.552,0,8867180.293,189.02
 01/09  14:00:00,SFH,2011-2015,No retrofit,15360557.22,14406091.94,954465.2762,0,4211252.116,91.7
 01/09  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,24.2
 01/09  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/09  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/09  18:00:00,SFH,2011-2015,No retrofit,18839059.3,17884594.02,954465.2762,0,4211252.116,0
 01/09  19:00:00,SFH,2011-2015,No retrofit,16283501.42,14374570.87,1908930.552,0,8867180.293,0
 01/09  20:00:00,SFH,2011-2015,No retrofit,15310249.36,13401318.81,1908930.552,0,10419156.35,0
 01/09  21:00:00,SFH,2011-2015,No retrofit,16997133.51,15088202.95,1908930.552,0,4211252.116,0
 01/09  22:00:00,SFH,2011-2015,No retrofit,18241172.87,15855009.68,2386163.191,0,4211252.116,0
 01/09  23:00:00,SFH,2011-2015,No retrofit,22928.3198,22928.3198,0,0,1551976.059,0
 01/09  24:00:00,SFH,2011-2015,No retrofit,799911.6338,799911.6338,0,0,969985.0368,0
 01/10  01:00:00,SFH,2011-2015,No retrofit,1718433.767,1718433.767,0,0,969985.0368,0
 01/10  02:00:00,SFH,2011-2015,No retrofit,2574535.598,2574535.598,0,0,969985.0368,0
 01/10  03:00:00,SFH,2011-2015,No retrofit,3297791.436,3297791.436,0,0,969985.0368,0
 01/10  04:00:00,SFH,2011-2015,No retrofit,3914654.682,3914654.682,0,0,969985.0368,0
 01/10  05:00:00,SFH,2011-2015,No retrofit,4431593.523,4431593.523,0,0,969985.0368,0
 01/10  06:00:00,SFH,2011-2015,No retrofit,4702849.46,4702849.46,0,0,1551976.059,0
 01/10  07:00:00,SFH,2011-2015,No retrofit,24545276.52,23113578.61,1431697.914,0,8867180.293,21.05
 01/10  08:00:00,SFH,2011-2015,No retrofit,21093932.68,20139467.41,954465.2762,0,4211252.116,115.05
 01/10  09:00:00,SFH,2011-2015,No retrofit,1371887.12,1371887.12,0,0,969985.0368,202.52
 01/10  10:00:00,SFH,2011-2015,No retrofit,3229695.662,3229695.662,0,0,969985.0368,309.27
 01/10  11:00:00,SFH,2011-2015,No retrofit,3389999.082,3389999.082,0,0,969985.0368,325.62
 01/10  12:00:00,SFH,2011-2015,No retrofit,3289112.878,3289112.878,0,0,969985.0368,321.59
 01/10  13:00:00,SFH,2011-2015,No retrofit,23677394.78,21768464.22,1908930.552,0,8867180.293,231.88
 01/10  14:00:00,SFH,2011-2015,No retrofit,18501817.06,17547351.78,954465.2762,0,4211252.116,126.95
 01/10  15:00:00,SFH,2011-2015,No retrofit,130134.7565,130134.7565,0,0,969985.0368,25.43
 01/10  16:00:00,SFH,2011-2015,No retrofit,1316624.369,1316624.369,0,0,969985.0368,0
 01/10  17:00:00,SFH,2011-2015,No retrofit,2235187.363,2235187.363,0,0,969985.0368,0
 01/10  18:00:00,SFH,2011-2015,No retrofit,23090105.51,22135640.23,954465.2762,0,4211252.116,0
 01/10  19:00:00,SFH,2011-2015,No retrofit,20255807.35,18346876.8,1908930.552,0,8867180.293,0
 01/10  20:00:00,SFH,2011-2015,No retrofit,18716981.15,16808050.6,1908930.552,0,10419156.35,0
 01/10  21:00:00,SFH,2011-2015,No retrofit,20062985.68,18154055.13,1908930.552,0,4211252.116,0
 01/10  22:00:00,SFH,2011-2015,No retrofit,21089458.14,18703294.94,2386163.191,0,4211252.116,0
 01/10  23:00:00,SFH,2011-2015,No retrofit,763411.3004,763411.3004,0,0,1551976.059,0
 01/10  24:00:00,SFH,2011-2015,No retrofit,2899009.238,2899009.238,0,0,969985.0368,0
 01/11  01:00:00,SFH,2011-2015,No retrofit,3867198.703,3867198.703,0,0,969985.0368,0
 01/11  02:00:00,SFH,2011-2015,No retrofit,4684209.627,4684209.627,0,0,969985.0368,0
 01/11  03:00:00,SFH,2011-2015,No retrofit,5388514.451,5388514.451,0,0,969985.0368,0
 01/11  04:00:00,SFH,2011-2015,No retrofit,5943200.205,5943200.205,0,0,969985.0368,0
 01/11  05:00:00,SFH,2011-2015,No retrofit,6392869.532,6392869.532,0,0,969985.0368,0
 01/11  06:00:00,SFH,2011-2015,No retrofit,6691880.688,6691880.688,0,0,1551976.059,0
 01/11  07:00:00,SFH,2011-2015,No retrofit,27832530.01,26400832.1,1431697.914,0,8867180.293,18.72
 01/11  08:00:00,SFH,2011-2015,No retrofit,23984832.89,23030367.62,954465.2762,0,4211252.116,102.8
 01/11  09:00:00,SFH,2011-2015,No retrofit,2125402.852,2125402.852,0,0,969985.0368,187.99
 01/11  10:00:00,SFH,2011-2015,No retrofit,965987.1327,965987.1327,0,0,969985.0368,282.13
 01/11  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,318.35
 01/11  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,317.59
 01/11  13:00:00,SFH,2011-2015,No retrofit,6990147.644,5081217.091,1908930.552,0,8867180.293,263.16
 01/11  14:00:00,SFH,2011-2015,No retrofit,2493829.316,1539364.039,954465.2762,0,4211252.116,145.45
 01/11  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,35.09
 01/11  16:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/11  17:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/11  18:00:00,SFH,2011-2015,No retrofit,3533597.453,2579132.177,954465.2762,0,4211252.116,0
 01/11  19:00:00,SFH,2011-2015,No retrofit,5092609.196,3183678.643,1908930.552,0,8867180.293,0
 01/11  20:00:00,SFH,2011-2015,No retrofit,5388271.66,3479341.108,1908930.552,0,10419156.35,0
 01/11  21:00:00,SFH,2011-2015,No retrofit,8067931.565,6159001.012,1908930.552,0,4211252.116,0
 01/11  22:00:00,SFH,2011-2015,No retrofit,10021171.8,7635008.608,2386163.191,0,4211252.116,0
 01/11  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 01/11  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/12  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/12  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/12  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 01/12  04:00:00,SFH,2011-2015,No retrofit,158563.8507,158563.8507,0,0,969985.0368,0
 01/12  05:00:00,SFH,2011-2015,No retrofit,827467.0351,827467.0351,0,0,969985.0368,0
 01/12  06:00:00,SFH,2011-2015,No retrofit,1403248.814,1403248.814,0,0,1551976.059,0
 01/12  07:00:00,SFH,2011-2015,No retrofit,20935031,19503333.08,1431697.914,0,8867180.293,15.39
 01/12  08:00:00,SFH,2011-2015,No retrofit,16898242.67,15943777.39,954465.2762,0,4211252.116,31.78
 01/12  09:00:00,SFH,2011-2015,No retrofit,153429.7928,153429.7928,0,0,969985.0368,79.2
 01/12  10:00:00,SFH,2011-2015,No retrofit,22810.70331,22810.70331,0,0,969985.0368,133.28
 01/12  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,107.13
 01/12  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,93.27
