Date/Time,Building_type,Construction_period,retrofit_scenario,Hot water + Space Heating demand [J](Hourly),Space Heating demand [J](Hourly),Hot water demand [J](Hourly),,Electricity demand [J](Hourly) ,G [W](msquared)
 07/16  20:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,15398276.57,10419156.35,0
 07/16  21:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,11609272.39,4211252.116,0
 07/16  22:00:00,SFH,2011-2015,No retrofit,2386163.191,0,2386163.191,10574179.74,4211252.116,0
 07/16  23:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,0
 07/16  24:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/17  01:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/17  02:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/17  03:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,0
 07/17  04:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,30.12
 07/17  05:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,74.26
 07/17  06:00:00,SFH,2011-2015,No retrofit,0,0,0,0,1551976.059,132.15
 07/17  07:00:00,SFH,2011-2015,No retrofit,1431697.914,0,1431697.914,10745843.47,8867180.293,193.9
 07/17  08:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,8281165.848,4211252.116,272.3
 07/17  09:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,342.09
 07/17  10:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,373.73
 07/17  11:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,446.95
 07/17  12:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,411.74
 07/17  13:00:00,SFH,2011-2015,No retrofit,1908930.552,0,1908930.552,17495002.01,8867180.293,401.39
 07/17  14:00:00,SFH,2011-2015,No retrofit,954465.2762,0,954465.2762,14212593.69,4211252.116,323.99
 07/17  15:00:00,SFH,2011-2015,No retrofit,0,0,0,0,969985.0368,268.22
 07/17  16:00:00,SFH,2011-2015,No retrofit,0,0,0,6309.26562,969985.0368,180.67
